latitude,longitude,region
17.7895,-64.62008,STX
17.78448,-64.61262,STX
17.71263,-64.56859,STX
17.73606,-64.53035,STX
17.76156,-64.50001,STX
17.76191,-64.5005,STX
17.76616,-64.49597,STX
17.74224,-64.89974,STX
17.77099,-64.81931,STX
17.77793,-64.67764,STX
17.78533,-64.76053,STX
17.78686,-64.75798,STX
17.63772,-64.86058,STX
17.64588,-64.8119,STX
17.64678,-64.80884,STX
17.66703,-64.75954,STX
17.69822,-64.62501,STX
17.80351,-64.55044,STX
17.817,-64.43281,STX
17.81687,-64.43145,STX
17.7843,-64.75804,STX
17.66377,-64.7722,STX
17.77786,-64.59504,STX
17.77971,-64.5946,STX
17.7826,-64.60163,STX
17.78303,-64.61217,STX
17.78316,-64.60086,STX
17.78859,-64.60176,STX
17.78863,-64.60076,STX
17.78908,-64.59941,STX
17.79036,-64.60451,STX
17.79487,-64.61732,STX
17.79486,-64.61455,STX
17.77413,-64.521,STX
17.7676,-64.51292,STX
17.76914,-64.51071,STX
17.68062,-64.71816,STX
17.68103,-64.7205,STX
17.77673,-64.61624,STX
17.7802,-64.61233,STX
17.78242,-64.58576,STX
17.78327,-64.59508,STX
17.78883,-64.57738,STX
17.79655,-64.5773,STX
17.79684,-64.58679,STX
17.79974,-64.58721,STX
17.80048,-64.59424,STX
17.80342,-64.60758,STX
17.8078,-64.62704,STX
17.80883,-64.62699,STX
17.80876,-64.62172,STX
17.80963,-64.63575,STX
17.69895,-64.62971,STX
17.7013,-64.63713,STX
17.70898,-64.62505,STX
17.73736,-64.54403,STX
17.74634,-64.53182,STX
17.77227,-64.56337,STX
17.77508,-64.53798,STX
17.78749,-64.57154,STX
17.78781,-64.5343,STX
17.79318,-64.55362,STX
17.79633,-64.55036,STX
17.7753,-64.49409,STX
17.78643,-64.47695,STX
17.79171,-64.47143,STX
17.79264,-64.46115,STX
17.79657,-64.52,STX
17.80056,-64.53642,STX
17.80165,-64.52598,STX
17.8016,-64.54086,STX
17.80533,-64.52651,STX
17.80729,-64.52806,STX
17.81115,-64.49591,STX
17.81464,-64.49993,STX
17.81535,-64.47942,STX
17.81903,-64.50109,STX
17.82053,-64.49941,STX
17.76724,-64.73035,STX
17.79189,-64.74884,STX
17.64103,-64.85118,STX
17.6424,-64.84934,STX
17.64457,-64.90317,STX
17.64957,-64.85538,STX
17.64916,-64.92143,STX
17.65081,-64.80896,STX
17.68541,-64.67719,STX
17.68855,-64.68384,STX
17.77504,-64.59457,STX
17.78562,-64.58656,STX
17.69783,-64.62761,STX
17.77569,-64.57332,STX
17.77849,-64.53334,STX
17.78884,-64.49493,STX
17.79675,-64.47728,STX
17.75257,-64.8955,STX
17.7907,-64.75179,STX
17.67053,-64.77865,STX
17.76322,-64.72225,STX
17.78453,-64.6078,STX
17.79313,-64.60405,STX
17.79567,-64.62544,STX
17.79612,-64.62161,STX
17.79649,-64.62453,STX
17.79748,-64.62298,STX
17.79929,-64.62489,STX
17.80066,-64.62397,STX
17.71362,-64.66302,STX
17.71456,-64.66269,STX
17.69168,-64.69184,STX
17.78006,-64.59409,STX
17.78057,-64.64229,STX
17.78654,-64.58109,STX
17.78821,-64.58502,STX
17.79052,-64.59243,STX
17.79232,-64.59326,STX
17.79469,-64.64099,STX
17.79534,-64.6013,STX
17.79941,-64.61351,STX
17.80098,-64.63195,STX
17.80423,-64.62787,STX
17.7066,-64.65866,STX
17.71065,-64.66276,STX
17.71147,-64.64917,STX
17.72153,-64.62972,STX
17.7215,-64.62848,STX
17.76788,-64.5974,STX
17.77645,-64.65777,STX
17.77781,-64.6502,STX
17.78062,-64.57712,STX
17.78099,-64.65493,STX
17.82393,-64.48649,STX
17.82445,-64.4851,STX
17.68795,-64.89731,STX
17.71923,-64.88526,STX
17.77346,-64.68312,STX
17.78621,-64.75496,STX
17.78908,-64.75253,STX
17.65479,-64.87012,STX
17.65793,-64.85934,STX
17.65879,-64.87339,STX
17.66135,-64.89191,STX
17.66328,-64.82737,STX
17.69246,-64.70179,STX
17.79288,-64.62457,STX
17.72732,-64.62457,STX
17.76117,-64.69776,STX
17.78267,-64.61785,STX
17.6948,-64.89686,STX
17.78462,-64.75881,STX
17.78538,-64.76102,STX
17.74039,-64.89951,STX
17.78465,-64.75708,STX
17.78244,-64.59496,STX
17.78414,-64.60647,STX
17.79712,-64.61616,STX
17.80322,-64.63586,STX
17.78754,-64.57629,STX
17.67743,-64.71623,STX
17.6801,-64.7196,STX
17.78568,-64.58417,STX
17.70837,-64.88881,STX
17.78486,-64.60428,STX
17.78206,-64.75699,STX
17.784,-64.75332,STX
17.79368,-64.58759,STX
17.72054,-64.89236,STX
17.72498,-64.89439,STX
17.78287,-64.75615,STX
17.77648,-64.8109,STX
17.68897,-64.90258,STX
17.69276,-64.89813,STX
17.7037,-64.88984,STX
17.70659,-64.88733,STX
17.71644,-64.88994,STX
17.71744,-64.8905,STX
17.72147,-64.88573,STX
17.73591,-64.89772,STX
17.73629,-64.89451,STX
17.744,-64.90017,STX
17.76844,-64.88428,STX
18.31469,-64.68833,STTSTJ
18.32579,-64.80147,STTSTJ
18.33973,-64.69007,STTSTJ
18.35071,-64.69047,STTSTJ
18.30777,-64.70144,STTSTJ
18.35399,-64.78466,STTSTJ
18.37024,-64.75924,STTSTJ
18.29804,-64.8257,STTSTJ
18.35951,-64.86756,STTSTJ
18.37718,-64.93007,STTSTJ
18.38013,-65.06458,STTSTJ
18.30544,-64.8653,STTSTJ
18.26901,-64.7264,STTSTJ
18.26898,-64.72592,STTSTJ
18.26904,-64.73508,STTSTJ
18.30952,-64.68109,STTSTJ
18.32076,-64.65245,STTSTJ
18.32477,-64.6484,STTSTJ
18.335,-64.68857,STTSTJ
18.35817,-64.67858,STTSTJ
18.36171,-64.7827,STTSTJ
18.36241,-64.77879,STTSTJ
18.36446,-64.77544,STTSTJ
18.27725,-64.9617,STTSTJ
18.30225,-65.00388,STTSTJ
18.30214,-64.99927,STTSTJ
18.30657,-64.90177,STTSTJ
18.37698,-64.96288,STTSTJ
18.30008,-64.83404,STTSTJ
